category,name,parcel_count,area_m2,ratio
summary,전체 필지 수,31153,33825572.0,100.0
landuse_group,미분류,11629,12377875.4,36.6
landuse_group,공동주택,6119,5881266.6,17.4
landuse_group,기타,1916,5274326.5,15.6
landuse_group,공원/녹지,769,2317186.3,6.9
landuse_group,근린생활시설,3837,1970051.6,5.8
landuse_group,교육연구시설,182,1736063.0,5.1
landuse_group,운동시설,48,1020139.9,3.0
landuse_group,단독주택,5723,962992.0,2.8
landuse_group,판매시설,22,599819.8,1.8
landuse_group,의료/노유자시설,151,433095.3,1.3
landuse_group,하천/수공간,258,403887.1,1.2
landuse_group,업무시설,323,398152.6,1.2
landuse_group,도로/교통시설,126,301958.7,0.9
landuse_group,위락시설,6,129669.3,0.4
landuse_group,숙박시설,44,19087.9,0.1
source_priority,1_building_use,16591,13974916.7,41.3
source_priority,7_unclassified,11629,12377875.4,36.6
source_priority,3_urban_facility,2933,7472779.9,22.1
confidence,high,16591,13974916.7,41.3
confidence,low,11629,12377875.4,36.6
confidence,medium,2933,7472779.9,22.1
